Query,Escalation,Sentiment,Category
Can I set an expiry date for my survey?,No escalation needed,Positive,Data Collection
Could you explain how to how do i connect my google analytics account to track survey performance?,Escalation needed,Neutral,Integrations
I need assistance with account management: what's the process for upgrading from a free to a paid plan?,Escalation needed,Positive,Account Management
I'm having trouble with pricing and billing: is there a discount for annual billing?,Escalation needed,Negative,Pricing and Billing
"Can you help me understand how to the survey is loading very slowly for respondents, how can i optimize it?",Escalation needed,Neutral,Technical Issues
I need assistance with survey creation: how do i add branching logic to my survey?,Escalation needed,Positive,Survey Creation
How can I prevent duplicate responses?,No escalation needed,Positive,Data Collection
I'm having trouble with survey distribution: is there a qr code option for sharing surveys?,Escalation needed,Negative,Survey Distribution
"Can you help me understand how to i was charged twice this month, can you help me understand why?",Escalation needed,Neutral,Pricing and Billing
I'm confused about data collection: how can i prevent duplicate responses?,Escalation needed,Negative,Data Collection
Can you help me understand how to can i create a multi-language survey?,Escalation needed,Neutral,Survey Creation
"I'm confused about pricing and billing: i was charged twice this month, can you help me understand why?",Escalation needed,Negative,Pricing and Billing
I need assistance with survey distribution: how do i create a custom url for my survey?,Escalation needed,Positive,Survey Distribution
Is there a QR code option for sharing surveys?,No escalation needed,Positive,Survey Distribution
Is it possible to set up automated report generation?,No escalation needed,Positive,Results Analysis
I'm getting a 404 error when trying to access my results,Escalation needed,Negative,Technical Issues
How do I add branching logic to my survey?,No escalation needed,Positive,Survey Creation
"I was charged twice this month, can you help me understand why?",Escalation needed,Neutral,Pricing and Billing
Can you help me understand how to how many question types does surveysparrow offer?,Escalation needed,Neutral,Survey Creation
"The survey is loading very slowly for respondents, how can I optimize it?",Escalation needed,Positive,Technical Issues
Can you help me understand how to how do i add branching logic to my survey?,Escalation needed,Neutral,Survey Creation
I'm confused about integrations: how do i set up the zapier integration?,Escalation needed,Negative,Integrations
Can you help me understand how to how do i set up the zapier integration?,Escalation needed,Neutral,Integrations
I'm having trouble with results analysis: how can i create custom reports for specific question types?,Escalation needed,Negative,Results Analysis
