Query,Escalation,Sentiment,Category,sentiment,keywords
I'm confused about integrations: is there an api available for custom integrations?,Escalation needed,Negative,Integrations,Positive,"['integrations', 'confused', 'api', 'available', 'custom']"
Can you help me understand how to the email invitations aren't being delivered to some respondents,Escalation needed,Neutral,Technical Issues,Positive,"['help', 'understand', 'email', 'invitations', 'delivered']"
How do I set up the Zapier integration?,No escalation needed,Positive,Integrations,Negative,"['set', 'zapier', 'integration']"
How do I add branching logic to my survey?,No escalation needed,Positive,Survey Creation,Neutral,"['add', 'branching', 'logic', 'survey']"
Could you explain how to how do i update my credit card information?,Escalation needed,Neutral,Pricing and Billing,Positive,"['could', 'explain', 'update', 'credit', 'card']"
What's the maximum number of responses I can collect?,No escalation needed,Positive,Data Collection,Neutral,"['maximum', 'number', 'responses', 'collect']"
I need assistance with account management: how do i add team members to my account?,Escalation needed,Positive,Account Management,Positive,"['account', 'need', 'assistance', 'management', 'add']"
I'm confused about technical issues: my custom domain isn't resolving correctly for my surveys,Escalation needed,Negative,Technical Issues,Positive,"['confused', 'technical', 'issues', 'custom', 'domain']"
I'm confused about account management: can i transfer ownership of a survey to another user?,Escalation needed,Negative,Account Management,Positive,"['confused', 'account', 'management', 'transfer', 'ownership']"
What's the process for upgrading from a free to a paid plan?,Escalation needed,Positive,Account Management,Positive,"['process', 'upgrading', 'free', 'paid', 'plan']"
I'm having trouble with technical issues: i'm getting a 404 error when trying to access my results,Escalation needed,Negative,Technical Issues,Positive,"['trouble', 'technical', 'issues', 'getting', '404']"
How can I prevent duplicate responses?,No escalation needed,Positive,Data Collection,Neutral,"['prevent', 'duplicate', 'responses']"
"I'm confused about account management: i need to close my account, what steps should i take?",Escalation needed,Negative,Account Management,Positive,"['account', 'confused', 'management', 'need', 'close']"
I'm confused about results analysis: can i generate word clouds from open-ended responses?,Escalation needed,Negative,Results Analysis,Positive,"['confused', 'results', 'analysis', 'generate', 'word']"
Can you help me understand how to how do i connect my google analytics account to track survey performance?,Escalation needed,Neutral,Integrations,Positive,"['help', 'understand', 'connect', 'google', 'analytics']"
I'm having trouble with survey creation: is there a way to randomize question order?,Escalation needed,Negative,Survey Creation,Positive,"['trouble', 'survey', 'creation', 'way', 'randomize']"
Can you help me understand how to is there a discount for annual billing?,Escalation needed,Neutral,Pricing and Billing,Positive,"['help', 'understand', 'discount', 'annual', 'billing']"
I'm having trouble with integrations: how do i set up the zapier integration?,Escalation needed,Negative,Integrations,Positive,"['trouble', 'integrations', 'set', 'zapier', 'integration']"
Could you explain how to what's the maximum number of responses i can collect?,Escalation needed,Neutral,Data Collection,Positive,"['could', 'explain', 'maximum', 'number', 'responses']"
Is there an API available for custom integrations?,No escalation needed,Positive,Integrations,Neutral,"['api', 'available', 'custom', 'integrations']"
How do I enable partial response saving?,No escalation needed,Positive,Data Collection,Neutral,"['enable', 'partial', 'response', 'saving']"
I'm confused about data collection: is it possible to collect responses offline?,Escalation needed,Negative,Data Collection,Positive,"['confused', 'data', 'collection', 'possible', 'collect']"
